business_id,Restaurant,City,Rating
YCxRU8kBb58gAus4tFmziw,Fàn Boy at ASU,Tempe,5.0
SoCVWvr5f5lYJEY_62bgAw,Bacus Bros Hotdogs and Beer,Tempe,5.0
v0YATh4rCiPlBpSyNmh3tQ,Umami,Tempe,4.5
0HgLKI1T9WT3hJXskDtUrQ,Tea Swirl,Tempe,4.5
vK1_qKEG7zHvjiTOsN0CRg,Snooze AM,Tempe,4.5
3KFWuiz8lla9SospgQn6Yg,Slickables,Tempe,4.5
Dz5NDfPpXcID1qJbEfre4g,Press Coffee,Tempe,4.5
qgAZPDQStZP_Y5XTiQ6UqA,Postino Annex,Tempe,4.5
poOnGeQlHEnWRAH9t_0KMg,NYPD Pizza,Tempe,4.5
feu6_wWLD5l_2Ha3In_ENA,My Pie Pizza,Tempe,4.5
S1XhpND8AUrenZFNd1tWJw,Mai Island Grill,Tempe,4.5
puQ2WGO0L2KvKqNQCJYZRw,Loving Hut Tempe,Tempe,4.5
W2CzAePJakvARgoQuohbOA,In-N-Out Burger,Tempe,4.5
aqMfCbFNeWn1a4Evds83fg,Ike's Love & Sandwiches,Tempe,4.5
OoKNxTMu5YAaNgQKQ4SrzA,Desert Roots Kitchen,Tempe,4.5
wl0QZqAzr1DelslQ02JGCQ,Cornish Pasty Company,Tempe,4.5
_uMRu3765QYo0Qg1z1LKqw,Blaze Fast-Fire'd Pizza,Tempe,4.5
3IY-JtcZHBOSzFD53SSXLA,US Fries Tempe,Tempe,4.0
8XFDd4uX-g5B4JJzIahPHg,The Yard at Farmer Arts District,Tempe,4.0
qhkfJbMCFE7bgKDM-J6bmA,The Grill on Mill,Tempe,4.0
nmFmOu9UuMcwghDV-IT-og,The Flame Broiler,Tempe,4.0
U6P56MjLrraN0JBNvOjxaA,The Chuck Box,Tempe,4.0
NUhHkT1wfXsTLxt_tWwVXw,Thai Elephant,Tempe,4.0
QYIhMNwxXejDoCr-F1BxDg,Thai Basil,Tempe,4.0
l3bmBkr8_Pw3G-QkX0tPrw,Tasty Thai Restaurant,Tempe,4.0
9D7h2xfVJrGkkwXDsnfV_Q,Romancing the Bean,Tempe,4.0
mW97sJ9JVjs_REfp6XjRhQ,Raising Cane's,Tempe,4.0
HwjhWHbNp56t-dRiv3-wPA,Phoenicia Cafe,Tempe,4.0
sKWZ_tAOVMZoC4Qk8_Bd4A,Otto Pizza & Pastry,Tempe,4.0
prh-RlduJU3z3ynA5lU3Wg,Original ChopShop,Tempe,4.0
ndQTAJzhhkrl1i5ToEGSZw,Oregano's Pizza Bistro,Tempe,4.0
YmOWkved7K8q3eXgf4NNnA,Ncounter,Tempe,4.0
vW1P-SytRsF20a3ka9mBtw,Los Arielitos Taco Shop,Tempe,4.0
Mul_BVwcnhqmp2h_7QFepQ,La Bocca Urban Pizzeria + Wine Bar,Tempe,4.0
zDmvN4_WX7kTQpuRdKXDCw,In Season Deli,Tempe,4.0
SurnOSM2bVVN4-Js3G23RQ,House of Tricks,Tempe,4.0
Rj3wnYT1QAxpJlRT5mMc-g,Harlow's Cafe,Tempe,4.0
8CRXSMiyTR9DOMOdrTDRUw,Gangnam Sushi & Grill,Tempe,4.0
2aLyQgYUNQDc33U0ZxTT3A,French Fry Heaven,Tempe,4.0
iNbAht5CVY4KH_cympbHMA,Fired Pie,Tempe,4.0
UBQRhqRMW4Sk7kSZvZ1iAQ,Essence Bakery Café,Tempe,4.0
TWSKXlz2niDh9Pyuj90Dng,Engrained Cafe,Tempe,4.0
6C_8Mh4lmLc_QEs3hHleBg,El Pollo Supremo,Tempe,4.0
DEBqmgxv2yhJ93LqGpKltg,Earl Of Sandwich,Tempe,4.0
jiOREht1_iH8BPDBe9kerw,Dilly's Deli,Tempe,4.0
aiX_WP7NKPTdF9CfI-M-wg,Culinary Dropout,Tempe,4.0
l_B0JtF2UraFqhDpp5go0Q,Corner Bakery Cafe,Tempe,4.0
Y_3wdqZUoi8qyW7ZugIQNw,Chick-fil-A,Tempe,4.0
AfN3Z1U6QPEgAb5F2CQm8w,Casey Moore's Oyster House,Tempe,4.0
NxjUiGBNgyDErKXnmQ3s3w,Cartel Coffee Lab,Tempe,4.0
